1,97000,Mérida Centro,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,1,Urbano,1
2,97000,La Quinta,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,894,Urbano,1
3,97000,Los Cocos,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,896,Urbano,1
4,97000,Privada Del Maestro,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,904,Urbano,1
5,97000,Privada Garcia Gineres C - 29,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,905,Urbano,1
6,97000,Jardines de San Sebastian,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,1855,Urbano,1
7,97003,Los Reyes,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,796,Urbano,1
8,97050,Alcalá Martín,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,10,Urbano,1
9,97050,Yucatán,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,11,Urbano,1
10,97059,Señorial,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,12,Urbano,1
11,97060,Carrillo Ancona,Colonia,Mérida,Yucatán,Mérida,97212,31,97212,,9,50,13,Urbano,1
12,97068,Itzaes,Fraccionamiento,Mérida,Yucatán,Mérida,97212,31,97212,,21,50,14,Urbano,1
13,97069,Inalámbrica,Colonia,Mérida,Yucatán,Mérida,97212,31,97212,,9,50,15,Urbano,1
14,97070,Dolores Patron,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,16,Urbano,1
15,97070,Garcia Gineres,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,17,Urbano,1
16,97070,El Pedregal,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,595,Urbano,1
17,97080,La Huerta,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,20,Urbano,1
18,97088,Santa Cecilia,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,21,Urbano,1
19,97089,Cupules,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,22,Urbano,1
20,97098,Lourdes,Colonia,Mérida,Yucatán,Mérida,97002,31,97002,,9,50,25,Urbano,1
21,97099,Waspa,Fraccionamiento,Mérida,Yucatán,Mérida,97002,31,97002,,21,50,26,Urbano,1
22,97100,Itzimna,Colonia,Mérida,Yucatán,Mérida,97101,31,97101,,9,50,27,Urbano,1
23,97100,Itzimna,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,29,Urbano,1
24,97100,Itzimna 2,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,784,Urbano,1
25,97100,Rinconada Itzmina,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,1837,Urbano,1
26,97107,Manola,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,30,Urbano,1
27,97108,Las Arboledas,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,31,Urbano,1
28,97109,Ferrocarrileros,Colonia,Mérida,Yucatán,Mérida,97101,31,97101,,9,50,32,Urbano,1
29,97109,Jesús Carranza,Colonia,Mérida,Yucatán,Mérida,97101,31,97101,,9,50,33,Urbano,1
30,97110,Revolución (Cordemex),Unidad habitacional,Mérida,Yucatán,Mérida,97111,31,97111,,31,50,34,Urbano,1
31,97113,Montebello,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,37,Urbano,1
32,97113,Montebello II,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,293,Urbano,1
33,97113,San Antonio,Residencial,Mérida,Yucatán,Mérida,97101,31,97101,,30,50,1033,Urbano,1
34,97113,Xaman-Tan,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,1884,Urbano,1
35,97114,Monte Alban,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,39,Urbano,1
36,97114,Residencial Sol Campestre,Fraccionamiento,Mérida,Yucatán,Mérida,97101,31,97101,,21,50,814,Urbano,1
37,97114,Privada Monterreal Plus,Colonia,Mérida,Yucatán,Mérida,97101,31,97101,,9,50,849,Urbano,1
38,97115,Sodzil Norte,Colonia,Mérida,Yucatán,Mérida,97111,31,97111,,9,50,40,Urbano,1
39,97115,Montes de Ame,Colonia,Mérida,Yucatán,Mérida,97111,31,97111,,9,50,41,Urbano,1
40,97115,Gonzalo Guerrero,Fraccionamiento,Mérida,Yucatán,Mérida,97111,31,97111,,21,50,45,Urbano,1
41,97115,Residencial Montejo Norte,Fraccionamiento,Mérida,Yucatán,Mérida,97111,31,97111,,21,50,1863,Urbano,1
